CITY|SECTOR_ID|SECTOR_NAME|ENODEBID|ENODEB_NAME|EARFCN|PCI|PSS|SSS|TAC|VENDOR|LONGITUDE|LATITUDE|STYLE|AZIMUTH|HEIGHT|ELECTTILT|MECHTILT|TOTLETILT
yiyang|11317-128|F阳上庄F-HLH-1|11317|F阳上庄F-HLH|38400|373|||14400|华为|112.98|33.6814|宏站|10.0||||
yiyang|11317-129|F阳上庄F-HLH-2|11317|F阳上庄F-HLH|38544|372|||14400|华为|112.98|33.6814|宏站|140.0||||
yiyang|11317-130|F阳上庄F-HLH-3|11317|F阳上庄F-HLH|38544|374|||14400|华为|112.98|33.6814|宏站|250.0||||
yiyang|11429-128|G安玉梅F-HLH-1|11429|G安玉梅F-HLH|38400|468|||18740|华为|113.024|33.72|宏站|340.0||||
yiyang|11429-129|G安玉梅F-HLH-2|11429|G安玉梅F-HLH|38400|470|||18740|华为|113.024|33.72|宏站|130.0||||
yiyang|11429-130|G安玉梅F-HLH-3|11429|G安玉梅F-HLH|38400|469|||18740|华为|113.024|33.72|宏站|260.0||||
yiyang|12162-144|F阳盐镇营业厅E-HLW|12162|F阳盐镇营业厅L1E-HLW|39148|69|||14369|华为|113.0|33.6692|室分|0.0||||
sanxia|124672-0|A池刘果-HLHF-1|124672|A池刘果-HLHF|38400|32|||14531|华为|112.771|33.8104|宏站|30.0|43.0|6.0|2.0|8.0
sanxia|124672-1|A池刘果-HLHF-2|124672|A池刘果-HLHF|38400|30|||14531|华为|112.771|33.8104|宏站|150.0|43.0|6.0|2.0|8.0
sanxia|124672-2|A池刘果-HLHF-3|124672|A池刘果-HLHF|38400|31|||14531|华为|112.771|33.8104|宏站|240.0|43.0|6.0|2.0|8.0
sanxia|124673-0|A池张沟村-HLHF-1|124673|A池张沟村-HLHF|38400|200|||14531|华为|112.821|33.7785|宏站|40.0|43.0|3.0|0.0|3.0
sanxia|124673-1|A池张沟村-HLHF-2|124673|A池张沟村-HLHF|38400|198|||14531|华为|112.821|33.7785|宏站|110.0|43.0|3.0|1.0|4.0
sanxia|124673-2|A池张沟村-HLHF-3|124673|A池张沟村-HLHF|38400|199|||14531|华为|112.821|33.7785|宏站|220.0|43.0|3.0|1.0|4.0
sanxia|124674-0|A池苏门-HLHF-1|124674|A池苏门-HLHF|38400|327|||14531|华为|112.785|33.8075|宏站|30.0|43.0|3.0|0.0|3.0
sanxia|124674-1|A池苏门-HLHF-2|124674|A池苏门-HLHF|38400|329|||14531|华为|112.785|33.8075|宏站|180.0|30.0|6.0|3.0|9.0
sanxia|124674-2|A池苏门-HLHF-3|124674|A池苏门-HLHF|38400|328|||14531|华为|112.785|33.8075|宏站|290.0|30.0|6.0|3.0|9.0
sanxia|124675-0|A池南涧-HLHF-1|124675|A池南涧-HLHF|38400|94|||14563|华为|112.823|33.681|宏站|60.0|43.0|3.0|2.0|5.0
sanxia|124675-1|A池南涧-HLHF-2|124675|A池南涧-HLHF|38400|93|||14563|华为|112.823|33.681|宏站|150.0|30.0|6.0|3.0|9.0
sanxia|124675-2|A池南涧-HLHF-3|124675|A池南涧-HLHF|38400|95|||14563|华为|112.823|33.681|宏站|310.0|43.0|3.0|1.0|4.0
sanxia|124676-0|A池峪洞-HLHF-1|124676|A池峪洞-HLHF|38400|74|||18833|华为|112.743|33.6943|宏站|0.0|43.0|3.0|0.0|3.0
sanxia|124676-1|A池峪洞-HLHF-2|124676|A池峪洞-HLHF|38400|72|||18833|华为|112.743|33.6943|宏站|120.0|43.0|3.0|1.0|4.0
sanxia|124676-2|A池峪洞-HLHF-3|124676|A池峪洞-HLHF|38400|73|||18833|华为|112.743|33.6943|宏站|240.0|43.0|3.0|2.0|5.0
sanxia|124677-0|A池高岭-HLHF-1|124677|A池高岭-HLHF|38400|400|||14563|华为|112.795|33.7322|宏站|60.0|30.0|6.0|3.0|9.0
sanxia|124677-1|A池高岭-HLHF-2|124677|A池高岭-HLHF|38400|401|||14563|华为|112.795|33.7322|宏站|150.0|48.0|6.0|2.0|8.0
sanxia|124677-2|A池高岭-HLHF-3|124677|A池高岭-HLHF|38400|399|||14563|华为|112.795|33.7322|宏站|270.0|30.0|6.0|3.0|9.0
sanxia|124678-0|A池东坡头-HLHF-1|124678|A池东坡头-HLHF|38400|96|||14467|华为|112.943|33.6857|宏站|0.0|23.0|3.0|1.0|4.0
sanxia|124678-1|A池东坡头-HLHF-2|124678|A池东坡头-HLHF|38400|98|||14467|华为|112.943|33.6857|宏站|120.0|23.0|3.0|1.0|4.0
sanxia|124678-2|A池东坡头-HLHF-3|124678|A池东坡头-HLHF|38400|97|||14467|华为|112.943|33.6857|宏站|240.0|23.0|3.0|1.0|4.0
sanxia|124679-0|A池姜王庄-HLHF-1|124679|A池姜王庄-HLHF|38400|259|||18833|华为|112.636|33.7608|宏站|330.0|33.0|3.0|1.0|4.0
sanxia|124679-1|A池姜王庄-HLHF-2|124679|A池姜王庄-HLHF|38400|258|||18833|华为|112.636|33.7608|宏站|80.0|33.0|3.0|1.0|4.0
sanxia|124679-2|A池姜王庄-HLHF-3|124679|A池姜王庄-HLHF|38400|260|||18833|华为|112.636|33.7608|宏站|220.0|33.0|3.0|1.0|4.0
sanxia|124680-0|A池寺庄-HLHF-1|124680|A池寺庄-HLHF|38400|26|||18833|华为|112.591|33.7407|宏站|0.0|33.0|3.0|0.0|3.0
sanxia|124680-1|A池寺庄-HLHF-2|124680|A池寺庄-HLHF|38400|24|||18833|华为|112.591|33.7407|宏站|120.0|33.0|3.0|0.0|3.0
sanxia|124680-2|A池寺庄-HLHF-3|124680|A池寺庄-HLHF|38400|25|||18833|华为|112.591|33.7407|宏站|240.0|33.0|3.0|0.0|3.0
sanxia|124681-0|A池杨大池东洼-HLHF-1|124681|A池杨大池东洼-HLHF|38400|356|||14467|华为|112.899|33.6873|宏站|40.0|33.0|3.0|2.0|5.0
sanxia|124681-1|A池杨大池东洼-HLHF-2|124681|A池杨大池东洼-HLHF|38400|354|||14467|华为|112.899|33.6873|宏站|180.0|33.0|3.0|2.0|5.0
sanxia|124681-2|A池杨大池东洼-HLHF-3|124681|A池杨大池东洼-HLHF|38400|355|||14467|华为|112.899|33.6873|宏站|270.0|33.0|3.0|2.0|5.0
sanxia|124683-0|A池甘涧-HLHF-1|124683|A池甘涧-HLHF|38400|225|||14339|华为|112.818|33.818|宏站|20.0|33.0|6.0|4.0|10.0
sanxia|124683-1|A池甘涧-HLHF-2|124683|A池甘涧-HLHF|38400|227|||14339|华为|112.818|33.818|宏站|140.0|30.0|6.0|3.0|9.0
sanxia|124683-2|A池甘涧-HLHF-3|124683|A池甘涧-HLHF|38400|226|||14339|华为|112.818|33.818|宏站|260.0|33.0|6.0|2.0|8.0
sanxia|124684-0|A池东张村-HLHF-1|124684|A池东张村-HLHF|38400|448|||14467|华为|112.953|33.7795|宏站|350.0|30.0|6.0|3.0|9.0
sanxia|124684-1|A池东张村-HLHF-2|124684|A池东张村-HLHF|38400|447|||14467|华为|112.953|33.7795|宏站|90.0|33.0|6.0|3.0|9.0
sanxia|124684-2|A池东张村-HLHF-3|124684|A池东张村-HLHF|38400|449|||14467|华为|112.953|33.7795|宏站|290.0|33.0|6.0|3.0|9.0
sanxia|124685-0|A池东段村-HLHF-1|124685|A池东段村-HLHF|38400|19|||14339|华为|112.877|33.8111|宏站|60.0|33.0|3.0|0.0|3.0
sanxia|124685-1|A池东段村-HLHF-2|124685|A池东段村-HLHF|38400|18|||14339|华为|112.877|33.8111|宏站|160.0|33.0|3.0|0.0|3.0
sanxia|124685-2|A池东段村-HLHF-3|124685|A池东段村-HLHF|38400|20|||14339|华为|112.877|33.8111|宏站|290.0|33.0|3.0|0.0|3.0
sanxia|124686-0|A池杨河村-HLHF-1|124686|A池杨河村-HLHF|38400|10|||14339|华为|112.982|33.8318|宏站|330.0|33.0|3.0|0.0|3.0
sanxia|124686-1|A池杨河村-HLHF-2|124686|A池杨河村-HLHF|38400|11|||14339|华为|112.982|33.8318|宏站|140.0|33.0|3.0|0.0|3.0
sanxia|124686-2|A池杨河村-HLHF-3|124686|A池杨河村-HLHF|38400|9|||14339|华为|112.982|33.8318|宏站|240.0|33.0|3.0|0.0|3.0
sanxia|124687-0|A池堤坞-HLHF-1|124687|A池堤坞-HLHF|38400|182|||14339|华为|112.857|33.828|宏站|340.0|33.0|3.0|1.0|4.0
sanxia|124687-1|A池堤坞-HLHF-2|124687|A池堤坞-HLHF|38400|180|||14339|华为|112.857|33.828|宏站|130.0|33.0|3.0|1.0|4.0
sanxia|124687-2|A池堤坞-HLHF-3|124687|A池堤坞-HLHF|38400|181|||14339|华为|112.857|33.828|宏站|230.0|33.0|3.0|0.0|3.0
sanxia|124688-0|A池店沟-HLHF-1|124688|A池店沟-HLHF|38400|36|||14467|华为|112.946|33.8013|宏站|0.0|33.0|3.0|2.0|5.0
sanxia|124688-1|A池店沟-HLHF-2|124688|A池店沟-HLHF|38400|38|||14467|华为|112.946|33.8013|宏站|100.0|33.0|3.0|1.0|4.0
sanxia|124688-2|A池店沟-HLHF-3|124688|A池店沟-HLHF|38400|37|||14467|华为|112.946|33.8013|宏站|270.0|33.0|6.0|1.0|7.0
sanxia|124689-0|A池洪阳五庄-HLHF-1|124689|A池洪阳五庄-HLHF|38400|460|||14467|华为|112.977|33.7242|宏站|330.0|33.0|3.0|0.0|3.0
sanxia|124689-1|A池洪阳五庄-HLHF-2|124689|A池洪阳五庄-HLHF|38400|459|||14467|华为|112.977|33.7242|宏站|90.0|33.0|3.0|0.0|3.0
sanxia|124689-2|A池洪阳五庄-HLHF-3|124689|A池洪阳五庄-HLHF|38400|461|||14467|华为|112.977|33.7242|宏站|210.0|33.0|3.0|0.0|3.0
sanxia|124689-3|A池洪阳五庄-HLHF-4|124689|A池洪阳五庄-HLHF|38400|458|||14467|华为|112.98|33.725|宏站|70.0|33.0|3.0|0.0|3.0
sanxia|124690-0|A池刘庄-HLHF-1|124690|A池刘庄-HLHF|38400|213|||14467|华为|113.003|33.8108|宏站|30.0|33.0|3.0|0.0|3.0
sanxia|124690-1|A池刘庄-HLHF-2|124690|A池刘庄-HLHF|38400|215|||14467|华为|113.003|33.8108|宏站|150.0|33.0|3.0|0.0|3.0
sanxia|124690-2|A池刘庄-HLHF-3|124690|A池刘庄-HLHF|38400|214|||14467|华为|113.003|33.8108|宏站|270.0|33.0|3.0|0.0|3.0
sanxia|124691-0|A池崤店-HLHF-1|124691|A池崤店-HLHF|38400|163|||14467|华为|112.981|33.7454|宏站|40.0|33.0|3.0|4.0|7.0
